"host_id","x"
"56059059",1
"56067623",1
"57052119",1
"57209575",1
"57387361",1
"57726218",1
"58069986",1
"58078253",1
"58140293",1
"58765351",1
"58980481",1
"59153204",1
"59613993",1
"59956509",1
"60178480",1
"60269276",1
"60783435",1
"61291867",1
"61419767",1
"61945641",1
"61980780",1
"62087777",1
"62220773",1
"62406436",1
"62838817",1
"62995824",1
"63025269",1
"63047716",1
"63088252",1
"63100080",1
"63233905",1
"63333992",1
"63349894",1
"63500037",1
"64629543",1
"64632576",1
"64716367",1
"64767515",1
"64948558",1
"65018851",1
"65584104",1
"65708005",1
"65804738",1
"65846490",1
"66056585",1
"66092846",1
"66189507",1
"66195608",1
"66206246",1
"66442943",1
"66539980",1
"66631770",1
"66803125",1
"67002163",1
"67170968",1
"67625685",1
"67756864",1
"67867097",1
"68513616",1
"68607178",1
"68686301",1
"68832889",1
"68869045",1
"68900724",1
"69087589",1
"69188309",1
"69375962",1
"70344992",1
"70742170",1
"70783776",1
"71124765",1
"71159770",1
"71948758",1
"72174065",1
"72661153",1
"72832832",1
"73303284",1
"73378126",1
"73601251",1
"73961518",1
"74112299",1
"74570915",1
"74781426",1
"74962084",1
"75051852",1
"75066674",1
"75066679",1
"75562142",1
"75640070",1
"76520078",1
"76917004",1
"77054821",1
"77280239",1
"77306245",1
"77307684",1
"77447809",1
"77712776",1
"77735870",1
"77883605",1
"77963975",1
"78058732",1
"78253400",1
"78638598",1
"78640281",1
"79077346",1
"79314928",1
"79642589",1
"79850083",1
"80195068",1
"80288659",1
"80311219",1
"80506804",1
"80739881",1
"81045215",1
"81048519",1
"81464551",1
"82023303",1
"82282530",1
"83317009",1
"83735015",1
"83742780",1
"84093662",1
"84424576",1
"84632475",1
"84915138",1
"85046454",1
"85137945",1
"85236281",1
"85851726",1
"85931946",1
"86025214",1
"86327331",1
"87473927",1
"87699823",1
"87774642",1
"87796657",1
"87994485",1
"88092791",1
"89346842",1
"89794459",1
"90286165",1
"90505047",1
"90580974",1
"90895759",1
"91109629",1
"92136823",1
"92397483",1
"92756437",1
"92983132",1
"93687802",1
"93847637",1
"94205663",1
"94296670",1
"95149231",1
"96926071",1
"96979720",1
"97079841",1
"97292628",1
"99490946",1
"100474652",1
"101354142",1
"102133738",1
"102478614",1
"103037542",1
"103247076",1
"103396138",1
"103710458",1
"105237788",1
"105663223",1
"105917109",1
"106063182",1
"106884120",1
"106914989",1
"109347536",1
"109746871",1
"109780975",1
"110528065",1
"112704367",1
"115129584",1
"115134693",1
"116390025",1
"118939099",1
"119149236",1
"119293460",1
"119660337",1
"120231094",1
"121686363",1
"122056479",1
"122066306",1
"122218931",1
